" Телепрограмма «Марш-бросок» ООО «Телекомпания Воен-ТВ»","Программа о российской армии и флоте. "
" Телепрограмма «В мире животных» ООО «Телерадиокомпания АСС-ТВ» ","Одна из старейших на отечественном телевидении программа о животных. Уникальный видеоматериал + комментарии ведущего Н.Н. Дроздова."
" Телепрограмма «Право на надежду» Благотворительный фонд помощи инвалидам «Открытый мир»","Программа о людях, родившихся или ставших инвалидами. Сюжеты-истории об инвалидах - спортсменах, фотографах, художниках – о людях, которые нашли в себе силы перестроить свою жизнь на новый лад, несмотря на физический недуг или травму."
" Телепрограмма «Сельский час» ООО «2Л Медиа+»","Информационные и информационно-познавательные сюжеты, посвященные актуальным проблемам аграрно-промышленного комплекса и сельских территорий."
" Телепрограмма «Жди меня» ЗАО «Телекомпания ВИD» ","Ток-шоу социальной направленности. Стратегическая задача - восстановление человеческих связей, утверждение высоких нравственных принципов в отношениях между людьми, а также – гуманитарная помощь и, в случаях особой необходимости, - психологическая поддержка людям, потерявшим своих близких, попавших в беду или просто страдающих от одиночества"
" Цикл телевизионных документальных фильмов «Неизвестная планета» ЗАО «Всеобщие исследования» ","Серия документальных фильмов, снимаемых в малоизвестных странах труднодоступных регионах Земли. Тематика: последние первобытные племена и «колыбельные» цивилизации; малоизвестные религии; исчезающие обычаи, языки и образ жизни народов мира; история культур и традиций."
" Телепрограмма «Порядок слов» ООО «ТВК-Студия Групп»","Пятиминутные книжные новости. "
" Телепрограмма «Разночтения» ООО «НЕОТЕЛ» ","Главная тема программы – литературный процесс, механизмы литературы как культурной индустрии. "
" Телепрограмма «Студия «Здоровье» ООО «Селадон-СВ»","Программа о здоровье и здоровом образе жизни"
" Скрытое субтитрование телевизионных программ для инвалидов с нарушением слуха ООО «СУБТИТР»","Субтитрование ТВ-программ «Первого канала» детской, юношеской и взрослой тематики для инвалидов с нарушением слуха "
" Телепрограмма «Опасная зона» Телестудия ГУВД г.Москвы","Привлечение общественности к проблемам подрастающего поколения; пропаганда здорового образа жизни; помощь в социальной адаптации подросткам, вышедшим на свободу из исправительных учреждений; профилактика детской безнадзорности и беспризорности, преступности, алкоголизма, наркомании, токсикомании, бродяжничества и проституции среди детей."
