,"Телепрограмма «Жди меня»
ЗАО «Телекомпания ВИD»","Социальное ток-шоу, направленное на восстановление человеческих связей, утверждение высоких нравственных принципов в отношениях между людьми, оказание помощи и психологической поддержки людям, потерявшим своих близких, попавшим в беду или просто страдающим от одиночества
50 программ
Хронометраж 39-45 мин."
,"Телепрограмма «Репортер» с Михаилом Дегтярем»
ООО «ТВ студия РЕПОРТЕР»","Цикл авторских программ на самую разнообразную тематику.
Цель: рассказать о теме или событии так, чтобы любой зритель сказал: «Теперь я знаю об этом всё»
46 программ
Хронометраж 13 мин."
,"Телепрограмма «Главная дорога»
ОАО «Телекомпания НТВ»","Программа о том, как необходимо вести себя и что необходимо сделать для повышения безопасности на дорогах страны.
Информация о происходящем на дорогах страны – дорожно-транспортных происшествиях, изменениях в Правилах дорожного движения, строительстве новых магистралей, переправ, мостов и т.д.; анализ чрезвычайных ситуаций на дорогах
41 программа
Хронометраж 26 мин."
,"Телепрограмма «Опасная зона»
Телестудия ГУВД г.Москвы","Привлечение общественности к проблемам подрастающего поколения; пропаганда здорового образа жизни; помощь в социальной адаптации подросткам, вышедшим на свободу из исправительных учреждений; профилактика детской безнадзорности и беспризорности, преступности, алкоголизма, наркомании, токсикомании, бродяжничества и проституции среди детей.
52 программы
Хронометраж 26 мин."
,"Телепрограмма «Сельский час»
ООО «2Л Медиа+»","Информационные и информационно-познавательные сюжеты, посвященные актуальным проблемам аграрно-промышленного комплекса и сельских территорий
80 программ
Хронометраж 24 мин."
,"Телепрограмма «Марш-бросок»
ООО «Телекомпания Воен-ТВ»","Программа посвящена жизни и деятельности российской армии и флота. В ней поднимаются как вопросы повышения уровня боевой подготовки, оснащения войск боевой техникой и вооружением, так и решения проблем социальной защиты военнослужащих. Особое внимание уделяется призыву молодежи в армию, адаптации молодых людей в воинских коллективах и их профессиональному становлению.
52 программы
Хронометраж 26 мин."
,"Телепрограмма «В мире животных»
ООО «Телерадиокомпания АСС-ТВ» (научно-популярное и просветительское телевидение)","Одна из старейших на отечественном телевидении программа о животных.
Уникальный видеоматериал + комментарии ведущего Н.Н. Дроздова.
44 программы
Хронометраж 46 мин."
,"Цикл телевизионных документальных фильмов «Провинциальные музеи России»
АНО «Студия «Позитив-фильм»","Цикл о провинциальных городах и музеях современной России, где будут представлены музеи не только как хранилища исторических и культурных ценностей, но и центр жизни целого сообщества людей.Особое внимание будет уделено музеям, пропагандирующим национальную культуру.
6 фильмов
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «Экология литературы. Новая антология. Северная глава»
ЗАО «Телеком-проект»","Цикл фильмов о современной британской литературе.
Цикл основан на интервью с писателями Англии, Шотландии и Ирландии, книги которых переведены на русский язык
12 фильмов
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «Лица России»
ЗАО «Информационное агентство «Росбалт»
г.Санкт-Петербург","Короткометражные документальные фильмы о каждом из народов России, их культуре и образе жизни, традициях, национальных особенностях.
Цель проекта – зафиксировать то самобытное, что еще осталось у каждого из народов, что их отличает от соседей, стараясь сделать каждый фильм непохожим на предыдущий
15 фильмов
Хронометраж 13 мин."
,"Телепрограмма «Разночтения»
ООО «НЕОТЕЛ»","Главная тема программы – литературный процесс, механизмы литературы как культурной индустрии.
34 программы
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «Географическая видеоэнциклопедия»
НО «Фонд этнографических исследований»","Серия документальных образовательных видеофильмов, посвященных современной этнографии, социальной и физической географии различных регионов России.
Зрители получат представление о географическом разнообразии нашей страны, о многоплановости культур населяющих ее народов, глубже узнают географию, историю и культуру России.
2 фильма
Хронометраж 26 мин."
,"Телеверсия спектакля Театра-студии под руководством О.Табакова «Отцы и дети»
Филиал ФГУП ВГТРК ГТРК «Культура»","Телеверсия спектакля Театра-студии под руководством О.Табакова «Отцы и дети»
Хронометраж 2 часа 10 мин.
Канал-вещатель: «Культура»"
,"Девятый международный телевизионный конкурс юных музыкантов «Щелкунчик»
Филиал ФГУП ВГТРК ГТРК «Культура»","Телевизионная версия Девятого международного телевизионного конкурса юных музыкантов «Щелкунчик».
Задача конкурса – выявление юных музыкальных дарований, способных продолжить лучшие традиции русской исполнительской школы.
1 программа – 75 мин.
1 программа – 60 мин.
1 программа – 52 мин.
3 программы по 39 мин."
,"Музыкально-драматическое действо «В начале было Слово»
Филиал ФГУП ВГТРК ГТРК «Культура»","Трансляция 24 мая 2008 г. из г. Твери музыкально-драматического действа «В начале было Слово», посвященного Дню славянской письменности и культуры
Хронометраж 120 мин."
,"Телепрограмма «Кто мы?»
Филиал ФГУП ВГТРК ГТРК «Культура»","Авторская программа Феликса Разумовского.
Новый тематический цикл - «Судьба без почвы и почва без судьбы» - посвящен одному из самых сложный вопросов российского бытия - самоосмыслению русского человека в общемировом историко-культурном пространстве
8 программ
Хронометраж 26 мин."
,"Сопровождение скрытыми субтитрами программ на каналах вещания ОАО «ТВ Центр» в регионах РФ
ОАО «ТВ Центр»","Сопровождение скрытыми субтитрами информационных, аналитических, общественно-политических, познавательных, научно-популярных программ, а также документальных и художественных фильмов и сериалов на каналах вещания ОАО «ТВ Центр» в регионах РФ"
,"Телепрограмма «Фактор жизни»
ОАО «ТВ Центр»","Программа посвящена проблемам инвалидов
11 программ
Хронометраж 26 мин."
,"Цикл телевизионных документальных фильмов «Человечество других…»
ЗАО Красноярская Телекомпания «Афонтово»
г.Красноярск","Цикл этнографических документальных фильмов о коренных малочисленных народах России - об их возвращении к своим истокам и традициям:
3 фильма
Хронометраж 52 мин."
,"Телепрограмма «1150»
АНО «Новгородское областное телевидение»
г. Великий Новгород","Рассказы о новгородцах, их взглядах и устремлениях. В центре внимания очерка может оказаться кондуктор автобуса, студент, учитель, штукатур…
Цикл телепрограмм станет собирательным портретом города
15 программ
Хронометраж 1150 секунд"
,"Телевизионный документальный фильм «Погружение в историю»
АНО «Телевизионная студия «София»
г.Великий Новгород","Фильм о работе подводных археологов, изучающих историю Новгородской вечевой республики
2 серии
Хронометраж 26 мин."
,"Телевизионный документальный фильм «Святыни»
АНО «Телевизионная студия «София»
г.Великий Новгород","Документальные фильмы о новгородских памятниках архитектуры:
-церковь Спаса на Нередице
-церковь Спаса-Преображения на Ильине улице
-церковь Успения на Волотовом поле
3 фильма
Хронометраж 26 мин."
,"Телепрограмма «Душой соединяя времена…»
Филиал ФГУП ВГТРК ГТРК «Бурятия»
г. Улан-Удэ","Программа об истории Бурятии, о людях известных и неизвестных, чьи имена незаслуженно забыты потомками.
6 программ
Хронометраж 20 мин."
,"Цикл телевизионных документальных фильмов «Семейный портрет»
ООО «Компания «Регион-Фильм»
г.Воронеж","Цикл культурно-познавательных фильмов, которые рассказывают о примечательной российской семье, ее истории, родовых традициях, жизненных установках
8 фильмов
Хронометраж 26 мин.
"
