" Журнал « Детская энциклопедия» Проект «Главная детская библиотека России» Проект «1812 год» Проект «Герои Олимпиад» Проект «Из Красной книги»"," Пропаганда «читающего образа жизни». Пропаганда памятных дат истории Отечества – 200-летия Бородинского сражения, воспитание у детей чувства патриотизма, гордости за свою страну, увековечение памяти героев тех далеких дней. Цель проекта: способствовать пропаганде спорта, здорового образа жизни. Цель проекта: формирование бережного отношения к природе, среде нашего обитания, сохранение животного и растительного мира – первостепенная задача и обязанность человека, воспитание чувства ответственности за экологическую безопасность нашей страны."
" Журнал «Про книги. Журнал библиофила» Проект «История развития славянской литературы на примере лучших классических образцов.","Сохранению и расширению культурного и исторического пространства русского и иных славянских языков в рамках Года литературы и чтения в Содружестве Независимых Государств."
" Журнал «Россия в глобальной политике» Проект «Роль и место России в диалоге культур и цивилизаций современного мира»","Цель проекта – обозначить наиболее важные проблемы в области межкультурных и межнациональных отношений в России, а также в связях между Россией и окружающим миром."
" Журнал «Знамя» Проект «Литературный журнал «Знамя» как фактор инновационной трансформации современного литературного пространства»","Проект направлен на поддержание «читающего образа жизни» и рассчитан на все поколения читателей."
" Журнал «Акбузат», Проект «Мама, папа и я – счастливая семья»","Цель проекта: формирование гармонично развитого юного гражданина Российской Федерации, и морально, и материально готового создать полноценную семью в будущем."
" Газета «Йэшлек», Проект «Приоритет нации – здоровая молодежь»","Цель проекта - внедрение ценностей здорового образа жизни нации. Формирование у молодого поколения культуры здоровья."
" Газета «Молодежная газета», Проект «Здоровая нация – сильная Россия»","Цель проекта – формирование у молодежи негативного отношения к социальным проблемам, губящим и уносящим жизнь работоспособного населения."
" Журнал «Веселые картинки» Проект «Читаем вместе дома»","Цель проекта: побуждение детской аудитории к чтению, поддержка потребности в регулярном получении разнообразной информации через активное чтение детской периодики, вовлечение новых категорий взрослых читателей в семейное досуговое чтение."
" Журнал «Детская Роман-газета» Проект «Детское чтение для сердца и разума» ","Цель проекта: воспитание юных читателей в духе уважения к отечественной истории, культуре и литературе; нравственное совершенствование детей, пробуждение в них интереса к творчеству. "
" Журнал «Эскиз» Проект «Азбука Искусства» Проект «Знакомьтесь – ИНДИЯ» - ","Цель проекта: рассказать о мире искусств, дать детям не только знание и понимание общих законов его развития, но и познакомить ребенка с историей, культурными традициями разных цивилизаций, стран, народов, вызвать у него желание творить, видеть и понимать прекрасное. Это настоящая энциклопедия Индии, созданная детьми. "
" Газета «Юность Севера» («Кэскил») Проект «От дружбы в спорте – к миру на земле»","Цель проекта: привлечение внимания широких кругов российской и зарубежной общественности к проведению Игр «Дети Азии», как социально значимому мероприятию, направленному на укрепление имиджа России и Якутии за рубежом;"
" Журнал «Лазурь» Проект «Бережное отношение к природе – забота о будущем страны»","Цель проекта: способствовать выработке у подрастающего поколения социальной активности, бережного отношения к природе, побудить их участвовать в ее охране."
" Журнал «Внешкольник. Социальное, трудовое и художественное воспитание детей» Проект «Светофор: школа безопасности детей и взрослых»","Цель проекта : развитие эффективных форм и методов работы с детьми , учителями, преподавателями дополнительного образования по предупреждению опасного поведения на дорогах."
" Журнал «Детский Дом» Проект «Дети-сироты – будущие граждане России» ","Проект направлен на решение двух важных и актуальных задач. Во-первых, на сокращение количества детей-сирот, воспитывающихся в специальных учреждениях, за счет расширения их семейного устройства, которому способствует его пропаганда и информационное сопровождения на страницах журнала «Детский Дом». А во-вторых, проект направлен на улучшение качества воспитания, развития и подготовки к самостоятельной жизни воспитанников детских домов и школ-интернатов, в которых продолжает пребывать значительная часть сирот."
" Журнал «Знак вопроса» Проект «Социальное здоровье нации» "," Актуальность проекта обусловлена накопившимися в стране проблемами социального характера: подрыв института семьи (а в год семьи чрезвычайно важна ее поддержка), преступность, детская беспризорность, терроризм, в т.ч. и на межнациональной основе; наркомания, алкоголизм, сложная экологическая ситуация, медицинское нездоровье сограждан и т.п.."
" Журнал «Игра и дети» Проект «Семья без конфликтов»","Социальная значимость проекта заключается в укреплении стабильности семейного института и повышении его устойчивости; снижения конфликтности в семье; пропаганде семейных ценностей — таких, как ответственное материнство и отцовство, родительское чадолюбие."
" Газета «Планета Здоровья» Проект «МУЖ и ЧИН»","Цель проекта: пропаганда семейных ценностей, культа здоровой семьи, любви к детям; укрепление здоровья населения страны, сокращение смертности и увеличение рождаемости, внедрение здорового образа жизни."
" Журнал «Print \"," Profit» (Печать и прибыль) Проект «Успешная отрасль – читающая страна!»","Проект затрагивает одну из актуальных для современного российского общества проблем – усиление интеллектуального и научного потенциала издательской и полиграфической отрасли."
