"Телепрограмма «Спокойной ночи, малыши!»
Филиал ФГУП ВГТРК ГТК «Телеканал «Россия»","Развлекательная, воспитательная и развивающая программа, специально разработанная для детей-дошкольников. Её главная задача - помочь малышу познать окружающий мир, развить у детей творческие навыки и воображение"
"Телепрограмма «Очевидное-невероятное»
Филиал ФГУП ВГТРК ГТК «Телеканал «Россия»","Авторская программа Сергея Петровича Капицы - попытка помочь людям понять содержание науки через личность ученого.
Научные открытия, изобретения, сенсации – все это находит свое место в программе, но, прежде всего, зритель узнает о том, как это может повлиять на его жизнь"
"Телепрограмма «В гостях у Деда-Краеведа»
ФГУП «Всероссийская государственная телевизионная и радиовещательная компания»","Цикл кукольных этнографических программ для самых маленьких зрителей.
Программа посвящена регионам России, народам, населяющим эти регионы, их истории и традициям, костюмам, обрядам и сказкам.
Канал-вещатель: «Бибигон»"
"Телепрограмма «Главная дорога»
ОАО «Телекомпания НТВ»","Программа о том, как необходимо вести себя и что необходимо сделать для повышения безопасности на дорогах страны.
Информация о происходящем на дорогах страны – дорожно-транспортных происшествиях, изменениях в Правилах дорожного движения, строительстве новых магистралей, переправ, мостов и т.д.; анализ чрезвычайных ситуаций на дорогах"
"Ток-шоу «Линия жизни»
Филиал ФГУП ВГТРК ГТРК «Культура»","Ток-шоу с участием известных актеров, режиссеров, писателей и других деятелей отечественной культуры."
"Десятый международный телевизионный конкурс юных музыкантов «Щелкунчик»
Филиал ФГУП ВГТРК ГТРК «Культура»","Телевизионная версия Десятого международного телевизионного конкурса юных музыкантов «Щелкунчик».
Задача конкурса – выявление юных музыкальных дарований, способных продолжить лучшие традиции русской исполнительской школы."
"Телепрограмма «Играют лауреаты конкурса «Щелкунчик»
Филиал ФГУП ВГТРК ГТРК «Культура»","15 молодых исполнителей академической музыки – лауреатов разных лет Международного телевизионного конкурса юных музыкантов «Щелкунчик» выступят в Концертном зале им. П.И. Чайковского в сопровождении Большого симфонического оркестра им П.И. Чайковского.
Концерт состоится в преддверии Десятого международного телевизионного конкурса юных музыкантов «Щелкунчик»."
"Телевизионный документальный фильм «Чехов XXI века»
Филиал ФГУП ВГТРК ГТРК «Культура»","Фильм к 150-летию со дня рождения Антона Павловича Чехова.
Художественная структура фильма – реконструкция в формате «исповедь свидетелей», которая соединяется с последовательно выстроенными интервью и включением архивных материалов"
"Телевизионный документальный фильм «Три жизни поэта»
Филиал ФГУП ВГТРК ГТРК «Культура»","Фильм к 100-летию Александра Трифоновича Твардовского"
"Цикл телевизионных документальных фильмов «Жемчужины»
Филиал ФГУП ВГТРК ГТРК «Культура»","Цикл фильмов посвящен 100-летию Государственного музея изобразительных искусств им. А.С. Пушкина, которое отмечается в 2012 году.
Истории великих шедевров, которые представляют собой редчайшую художественную ценность."
"Сопровождение скрытыми субтитрами программ на каналах вещания ОАО «ТВ Центр» в регионах РФ
ОАО «ТВ Центр»","Сопровождение скрытыми субтитрами информационных, аналитических, общественно-политических, познавательных, научно-популярных программ, а также документальных и художественных фильмов и сериалов на каналах вещания ОАО «ТВ Центр» в регионах Российской Федерации"
"Телепрограмма «АБВГДейка»
ОАО «ТВ Центр»","Одна из старейших передач для детей.Доступная и привлекательная форма урока-игры позволяет охватить аудиторию от трехлетних малышей до младших школьников, а традиционное домашнее задание от ведущей Татьяны Кирилловны и почтальона Печкина позволяет детям раскрыть свои творческие способности"
"Телепрограмма «Уважаемый Антон Павлович»
ОАО «ТВ Центр»","Фильм к 150-летию со дня рождения Антона Павловича Чехова
Фильм будет построен на размышлениях о жизни и современном значении Чехова крупнейших мировых режиссеров, которые ставили чеховские произведения на сцене и в кино"
"Телепрограмма «Жди меня»
ЗАО «Телекомпания ВИD»","Социальное ток-шоу, направленное на восстановление человеческих связей, утверждение высоких нравственных принципов в отношениях между людьми, оказание помощи и психологической поддержки людям, потерявшим своих близких, попавшим в беду или просто страдающим от одиночества"
"Телепрограмма «Марш-бросок»
ООО «Телекомпания Воен-ТВ»","Программа посвящена жизни и деятельности российской армии и флота. В ней поднимаются как вопросы повышения уровня боевой подготовки, оснащения войск боевой техникой и вооружением, так и решения проблем социальной защиты военнослужащих. Особое внимание уделяется призыву молодежи в армию, адаптации молодых людей в воинских коллективах и их профессиональному становлению."
"Телепрограмма «В мире животных»
ООО «Телерадиокомпания АСС-ТВ» (научно-популярное и просветительское телевидение)","Одна из старейших на отечественном телевидении образовательная программа о животных.
Уникальный видеоматериал + комментарии ведущего Н.Н. Дроздова."
"Телепрограмма «Истории из будущего»
ООО «Телерадиокомпания АСС-ТВ» (научно-популярное и просветительское телевидение)","Цикл научно-публицистических программ посвящен передовым достижениям российских исследователей в области фундаментальной науки и высоких технологий."
"Телепрограмма «Умницы и умники»
ООО «Студия Юрия Вяземского «Образ-ТВ»","Гуманитарная олимпиада для старшеклассников.
Соревнования проходят по следующим областям: история, география, литература, право, культура и русский язык"
"Телевизионные ролики социальной рекламы «Найди меня, мама!»
АНО «Агентство социальной информации»","Социальные ролики в рамках информационной кампании в СМИ по семейному устройству детей-сирот «Наши дети».
Информирование населения о ситуации с сиротами и о возможностях, которые есть у граждан, желающих принять участие в судьбах детей, оставшихся без попечения родителей."
"Телепрограмма «Формула власти»
ФГУП «Информационное телеграфное агентство России (ИТАР-ТАСС)»","В программе затрагиваются основополагающие аспекты внешней политики России и двусторонних отношений с зарубежными странами."
"Телепрограмма «Разночтения»
ООО «НЕОТЕЛ»","Главная тема программы – литературный процесс, механизмы литературы как культурной индустрии."
"Цикл телевизионных документальных фильмов «Провинциальные музеи России»
АНО «Студия «Позитив-фильм»","Цикл о провинциальных городах и музеях современной России, где будут представлены музеи не только как хранилища исторических и культурных ценностей, но и центр жизни целого сообщества людей."
"Телепрограмма «Небо на земле»
ООО «Телекомпания «Сретение»","Культурно-просветительская программа о монастырях России, ставших настоящими центрами русского православия."
"Телепрограмма «Русские праведники»
ООО «Телекомпания «Сретение»","Цикл посвящен русским святым, соединившим любовь к Богу с любовью к людям."
"Телепрограмма «Загадка Чехова»
Гуманитарный фонд «Чеховский центр»","Программа об актуальности творчества А.П.Чехова в России и за ее пределами. Попытка понять, что заставляет зарубежных режиссеров снова и снова обращаться к чеховской драматургии, адаптируя ее к сегодняшнему дню, меняя время и место действия, но при этом оставляя в неизменности сам текст.
Программа построена в виде заочного диалога между российскими и зарубежными творческими деятелями"
"Телевизионный ролик социальной рекламы «Безопасность детей в Интернете»
РОО «Центр Интернет-технологий»","Ролик социальной рекламы, направленный на привлечение внимания общественности к проблеме Интернет-угроз, а также методам борьбы с ними"
"Телевизионный фильм «Сердца четырех»
ООО «Киностудия «ВЕРТИКАЛЬ»","Фильм о ставшем уже классическим направлении современной музыки - джазе и о тех, кто не мыслит свою жизнь без джаза.
В фильме прослеживается история советского джаза – от Леонида Утесова до Давида Голощекина"
"Цикл телевизионных роликов социальной рекламы «Береги себя»
ООО Студия «Мастерская»","Социальные ролики повествуют о вреде алкоголя и последствиях, к которым приводит его употребление. Рассматривается механизм воздействия алкоголя на организм с точки зрения медицины"
"Цикл телевизионных документальных фильмов «Общее дело»
ООО Студия «Мастерская»","Цикл телевизионных документальных фильмов о вреде алкоголя и последствиях, к которым приводит его употребление"
"Телепрограмма «ПредпоЧтение»
ООО «СТУДИЯ 52»","Чтение своих любимых литературных произведений артистами и другими известными людьми."
"Телепрограмма «Наши соседи»
ООО «КИНОГРАД»","Герои цикла – люди разных национальностей и вероисповеданий - живущие в большой коммунальной квартире в центре Москвы. Эта квартира стала для них островком некогда большой и могучей страны - Советского Союза.
Программа рассказывает о жизни семьи, ее радостях и заботах, конфликтных ситуациях во взаимоотношениях и путях выхода из них, учит терпимости друг к другу"
"Телевизионный документальный фильм «Великий Новгород в истории России»
АНО «Телевизионная студия «София»
г.Великий Новгород","Историко-документальный фильм, посвященный Великому Новгороду, отмечающему свое 1150-летие. Авторы фильма представляют Великий Новгород как уникальное явление не только отечественной, но и мировой истории."
"Телевизионный документальный фильм «Подземный город»
АНО «Телевизионная студия «София»
г.Великий Новгород","Фильм посвящен Новгородской археологической экспедиции и ее бессмертному руководителю академику В.Л. Янину."
"Цикл телевизионных документальных фильмов «Семейный портрет»
ООО «Компания «Регион-Фильм»
г.Воронеж","Фильмы о трех семьях:
-многодетная семья, воспитывающая родных детей;
- семья со статусом «семейный детский дом»;
- патронатная семья.
Каждый из этих укладов своеобразен, но всеми управляет логика обычных семейных отношений: «дети - родители», «семья – общество»."
"Цикл телевизионных документальных фильмов «Вопреки!»
НОУ «Российский центр подготовки работников региональных телевизионных компаний «Практика»
г. Нижний Новгород","Реальные истории о становлении личности молодого человека в современной жизни.
На примере конкретных человеческих судеб авторы фильмы покажут, что сегодняшние молодые люди готовы справляться с трудными и порой трагичными эпизодами своей судьбы, не опускать на «дно», а достойно преодолевать их и добиваться успеха."
"Телепрограмма «Детский тележурнал «Спасайкин»
НО Благотворительный фонд «Безопасное детство»
г. Краснодар","Программа направлена на распространение среди детей младшего школьного возраста знаний по защите от угроз террористических актов и иных чрезвычайных обстоятельств
"
"Телепрограмма «История ВОГ»
Некоммерческое партнерство «Телевидение глухих»
г.Нижний Новгород","Кинохроникальная программа о жизни Всероссийского общества глухих в 60-х – 90-х гг.
"
"Телепрограмма Калейдоскоп новостей»
Некоммерческое партнерство «Телевидение глухих»
г.Нижний Новгород","Информационная программа, освещающая крупные мероприятия, проводимые под эгидой Всероссийского общества глухих в регионах Российской Федерации
"
"Телевизионный документальный фильм «Они сражались за Родину. Фильм о фильме»
Всероссийская государственная телевизионная и радиовещательная компания","Фильм об истории создания фильма С.Бондарчука «Они сражались за Родину»"
