"«Аманат» (Завет)","Г. Уфа","«Кто к нам с мечом придет, от меча и погибнет!»","Воспитание патриотизма"
"«А почему?»","Г. Москва","«Сегодня учимся у взрослых, завтра работаем рядом с ними»","Сохранение культурно-нравственных ценностей"
"«Акбузат»","Г. Уфа","«Добрый доктор Айболит: «Будь ты счастлив!» - говорит»","Культ здоровой семьи"
"«Аллюки»","Г. Уфа","«Путевка в жизнь»","Формирование позитивного образа учителя"
"«Альманах библиофила»","Г. Москва","«Памятники книжной культуры»","Приобщение подрастающего поколения к чтению"
"«Арион»","Г. Москва","«Воспитание молодого читателя поэзии – приобщение к современной русской поэтической культуре»","Приобщение подрастающего поколения к чтению"
"«Ашальчи»","Респ. Удмуртия, г. Ижевск","«Жива культура – жив народ»","Сохранение культурно-нравственных ценностей"
"«Байгал»","Республика Бурятия, г. Улан-Удэ","«Как прекрасен родной язык – святой язык, отца и матери язык. Целый мир в твоем богатстве я постиг!»","Приобщение подрастающего поколения к чтению"
"«Балет»","Г. Москва","«Искусство танца – посол дружбы и взаимопонимания народов»","Поддержка музыкального творчества"
"«Башкортостан кызы»","Республика Башкортостан, г. Уфа","«Защити сердцем»","Укрепление института семьи"
"«Бельские просторы»","Г. Уфа","«Народ-Нравственность-Культура»","Сохранение культурно-нравственных ценностей"
"«Бизнес и общество»","Г. Москва","«Социальная ответственность бизнеса как основа успеха рыночных реформ, формирования гражданского общества и развития российской государственности»","Информационная поддержка взаимодействия институтов гражданского общества, бизнеса и госструктур в сфере корпоративной социальной ответственности и благотворительности"
"«Бизнес-Партнер»","Республика Башкортостан, г. Уфа","«Инновации – реальный рычаг модернизации экономики»","Объединение усилий власти и бизнеса по активизации инновационной деятельности"
"«Божий мир»","Г. Москва","«Святыни России, её героическая история и православная культура – вот духовная опора современного юношества»","Воспитание патриотизма, выработка стойкого мировоззрения, усвоение высоконравственных заповедей православия"
"«Ватандаш»","Республика Башкортостан, г. Уфа","«Ставка на молодых»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Введенская сторона»","Новгородская обл., г. Старая Русса","«Эстетическое просвещение – важный фактор нравственного и культурного воспитания молодежи»","Информационная поддержка мероприятий в рамках Года молодежи"
"«Вершины»","Республика Бурятия, г. Улан-Удэ","«Сибирские корни»","Сохранение культуры народов Сибири"
"«Весёлые картинки»","Г. Москва","«Читаем всей семьёй!»","Приобщение подрастающего поколения к чтению"
"«Веселые картинки» о природе. Журнал для детей «Филя»","Г. Москва","«Чистая планета»","Формирование бережного отношения к природе"
"«Веселый затейник»","Г. Москва","«Журнал в журнале «Эрудит»","Поддержка и развитие творчества"
"«Веселый колобок»","Г. Москва","«Воспитанный малыш – юный гражданин России»","Приобщение подрастающего поколения к чтению"
